"date","country","cases","deaths"
2020-01-03,"Argentina",0,0
2020-01-03,"Brazil",0,0
2020-01-03,"Colombia",0,0
2020-01-03,"France",0,0
2020-01-03,"Germany",0,0
2020-01-03,"India",0,0
2020-01-03,"Indonesia",0,0
2020-01-03,"Iran",0,0
2020-01-03,"Italy",0,0
2020-01-03,"Mexico",0,0
2020-01-03,"Peru",0,0
2020-01-03,"Poland",0,0
2020-01-03,"Russia",0,0
2020-01-03,"South Africa",0,0
2020-01-03,"Spain",0,0
2020-01-03,"Turkey",0,0
2020-01-03,"Ukraine",0,0
2020-01-03,"United Kingdom",0,0
2020-01-03,"United States",0,0
2020-01-04,"Argentina",0,0
2020-01-04,"Brazil",0,0
2020-01-04,"Colombia",0,0
2020-01-04,"France",0,0
2020-01-04,"Germany",1,0
2020-01-04,"India",0,0
2020-01-04,"Indonesia",0,0
2020-01-04,"Iran",0,0
2020-01-04,"Italy",0,0
2020-01-04,"Mexico",0,0
2020-01-04,"Peru",0,0
2020-01-04,"Poland",0,0
2020-01-04,"Russia",0,0
2020-01-04,"South Africa",0,0
2020-01-04,"Spain",0,0
2020-01-04,"Turkey",0,0
2020-01-04,"Ukraine",0,0
2020-01-04,"United Kingdom",0,0
2020-01-04,"United States",0,0
2020-01-05,"Argentina",0,0
2020-01-05,"Brazil",0,0
2020-01-05,"Colombia",0,0
2020-01-05,"France",0,0
2020-01-05,"Germany",0,3
2020-01-05,"India",0,0
2020-01-05,"Indonesia",0,0
2020-01-05,"Iran",0,0
2020-01-05,"Italy",0,0
2020-01-05,"Mexico",0,0
2020-01-05,"Peru",0,0
2020-01-05,"Poland",0,0
2020-01-05,"Russia",0,0
2020-01-05,"South Africa",0,0
2020-01-05,"Spain",0,0
2020-01-05,"Turkey",0,0
2020-01-05,"Ukraine",0,0
2020-01-05,"United Kingdom",0,0
2020-01-05,"United States",0,0
2020-01-06,"Argentina",0,0
2020-01-06,"Brazil",0,0
2020-01-06,"Colombia",0,0
2020-01-06,"France",0,0
2020-01-06,"Germany",0,0
2020-01-06,"India",0,0
2020-01-06,"Indonesia",0,0
2020-01-06,"Iran",0,0
2020-01-06,"Italy",0,0
2020-01-06,"Mexico",0,0
2020-01-06,"Peru",0,0
2020-01-06,"Poland",0,0
2020-01-06,"Russia",0,0
2020-01-06,"South Africa",0,0
2020-01-06,"Spain",0,0
2020-01-06,"Turkey",0,0
2020-01-06,"Ukraine",0,0
2020-01-06,"United Kingdom",0,0
2020-01-06,"United States",0,0
2020-01-07,"Argentina",0,0
2020-01-07,"Brazil",0,0
2020-01-07,"Colombia",0,0
2020-01-07,"France",0,0
2020-01-07,"Germany",0,0
2020-01-07,"India",0,0
2020-01-07,"Indonesia",0,0
2020-01-07,"Iran",0,0
2020-01-07,"Italy",0,0
2020-01-07,"Mexico",0,0
2020-01-07,"Peru",0,0
2020-01-07,"Poland",0,0
2020-01-07,"Russia",0,0
2020-01-07,"South Africa",0,0
2020-01-07,"Spain",0,0
2020-01-07,"Turkey",0,0
2020-01-07,"Ukraine",0,0
2020-01-07,"United Kingdom",0,0
2020-01-07,"United States",0,0
2020-01-08,"Argentina",0,0
2020-01-08,"Brazil",0,0
2020-01-08,"Colombia",0,0
2020-01-08,"France",0,0
2020-01-08,"Germany",0,0
2020-01-08,"India",0,0
2020-01-08,"Indonesia",0,0
2020-01-08,"Iran",0,0
2020-01-08,"Italy",0,0
2020-01-08,"Mexico",0,0
2020-01-08,"Peru",0,0
2020-01-08,"Poland",0,0
2020-01-08,"Russia",0,0
2020-01-08,"South Africa",0,0
2020-01-08,"Spain",0,0
2020-01-08,"Turkey",0,0
2020-01-08,"Ukraine",0,0
2020-01-08,"United Kingdom",0,0
2020-01-08,"United States",0,0
2020-01-09,"Argentina",0,0
2020-01-09,"Brazil",0,0
2020-01-09,"Colombia",0,0
2020-01-09,"France",0,0
2020-01-09,"Germany",0,0
2020-01-09,"India",0,0
2020-01-09,"Indonesia",0,0
2020-01-09,"Iran",0,0
2020-01-09,"Italy",0,0
2020-01-09,"Mexico",0,0
2020-01-09,"Peru",0,0
2020-01-09,"Poland",0,0
2020-01-09,"Russia",0,0
2020-01-09,"South Africa",0,0
2020-01-09,"Spain",0,0
2020-01-09,"Turkey",0,0
2020-01-09,"Ukraine",0,0
2020-01-09,"United Kingdom",0,0
